City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Catuday,PH,16.2923,119.8062,80.42,71,54,5.75,broken clouds
80,Orotukan,RU,62.2667,151.7,1.27,98,100,5.48,overcast clouds
81,Mildura,AU,-34.2,142.15,77.07,50,98,1.97,overcast clouds
82,Siddipet,IN,18.1,78.85,77.99,52,9,5.95,clear sky
83,Lorengau,PG,-2.0226,147.2712,82.44,78,96,6.02,overcast clouds
84,Medvezhyegorsk,RU,62.9167,34.4667,-2.09,99,19,2.06,few clouds
85,Belmonte,BR,-15.8631,-38.8828,78.03,81,16,6.26,few clouds
86,Manzhouli,CN,49.6,117.4333,29.57,41,72,4.07,broken clouds
87,Flinders,AU,-34.5833,150.8552,70.25,90,99,8.41,overcast clouds
88,Bolshaya Rechka,RU,51.9503,104.7355,23.27,95,100,3.36,overcast clouds
89,Pangody,RU,65.85,74.4859,9.68,94,99,12.64,overcast clouds
90,Antofagasta,CL,-23.65,-70.4,65.89,83,29,5.61,scattered clouds
91,Amapa,BR,1.0,-52.0,72.9,99,100,3.31,moderate rain
92,Fortuna,US,40.5982,-124.1573,64.92,68,40,5.75,scattered clouds
93,Bredasdorp,ZA,-34.5322,20.0403,64.9,73,45,3.6,scattered clouds
94,Khasan,RU,42.4308,130.6434,41.23,48,0,9.13,clear sky
95,Torbay,CA,47.6666,-52.7314,40.28,90,100,21.85,light rain
96,Acapulco,MX,16.8634,-99.8901,81.48,51,82,6.02,broken clouds
97,Kismayo,SO,-0.3582,42.5454,80.96,80,88,11.48,overcast clouds
98,Provideniya,RU,64.3833,-173.3,17.71,73,0,2.24,clear sky
99,Smithers,CA,54.7804,-127.1743,40.96,64,100,3.85,overcast clouds
100,San Jose,US,37.3394,-121.895,67.51,57,75,15.99,broken clouds
101,Bireun,ID,5.203,96.7009,76.44,85,39,4.05,scattered clouds
102,Ranir Bazar,IN,23.8333,91.3667,71.74,89,49,3.6,scattered clouds
103,Koumra,TD,8.9126,17.5539,81.37,13,43,7.18,scattered clouds
104,New Norfolk,AU,-42.7826,147.0587,62.92,70,94,2.93,light rain
105,Bambanglipuro,ID,-7.95,110.2833,78.03,85,81,4.65,broken clouds
106,Sinjar,IQ,36.3209,41.8754,43.0,72,1,7.11,clear sky
107,Port Blair,IN,11.6667,92.75,80.85,75,39,3.42,scattered clouds
108,Ponta Do Sol,PT,32.6667,-17.1,62.06,79,53,6.26,broken clouds
109,Puerto Ayora,EC,-0.7393,-90.3518,79.43,81,97,9.66,overcast clouds
110,Butaritari,KI,3.0707,172.7902,81.18,65,86,7.16,overcast clouds
111,Siderno,IT,38.2779,16.302,57.34,88,67,11.05,broken clouds
112,New Albany,US,38.2856,-85.8241,44.28,38,20,11.5,few clouds
113,Riyadh,SA,24.6877,46.7219,57.83,27,0,8.72,clear sky
114,Vostok,RU,46.4856,135.8833,24.57,87,100,7.18,overcast clouds
115,Batagay-Alyta,RU,67.8006,130.4114,0.37,81,50,3.76,scattered clouds
116,Arraial Do Cabo,BR,-22.9661,-42.0278,76.87,91,11,5.59,few clouds
117,East London,ZA,-33.0153,27.9116,70.41,82,94,18.72,overcast clouds
118,Cururupu,BR,-1.8283,-44.8683,74.59,97,100,2.73,overcast clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,61.88,73,0,5.01,clear sky
120,Peniche,PT,39.3558,-9.3811,62.29,70,100,13.47,overcast clouds
121,Trelew,AR,-43.249,-65.3051,67.53,19,0,7.05,clear sky
122,Ust-Nera,RU,64.5667,143.2,-2.65,95,75,0.43,broken clouds
123,Gaziantep,TR,37.0594,37.3825,35.53,70,0,1.14,clear sky
124,Mitu,CO,1.1983,-70.1733,71.65,100,100,2.37,overcast clouds
125,Yuci,CN,37.6803,112.7319,38.95,38,0,4.47,clear sky
126,Aketi,CD,2.7388,23.7833,77.22,67,100,2.73,overcast clouds
127,Brae,GB,60.3964,-1.353,47.19,86,4,16.62,clear sky
128,Vao,NC,-22.6667,167.4833,76.84,68,18,15.88,few clouds
129,Wadi Musa,JO,30.3222,35.4793,44.02,47,0,2.57,clear sky
130,Vasai,IN,19.47,72.8,80.69,77,21,1.81,few clouds
131,Port Elizabeth,ZA,-33.918,25.5701,65.1,99,86,8.23,overcast clouds
132,Parkhill,CA,43.1501,-81.6831,23.86,67,100,17.31,overcast clouds
133,Port Shepstone,ZA,-30.7414,30.455,71.62,88,96,17.38,overcast clouds
134,Luban,PL,51.1201,15.2877,44.51,65,0,4.83,clear sky
135,Sao Filipe,CV,14.8961,-24.4956,70.38,73,100,7.29,overcast clouds
136,Husavik,IS,66.0449,-17.3389,23.92,68,50,5.48,scattered clouds
137,Cap Malheureux,MU,-19.9842,57.6142,76.46,85,1,1.01,clear sky
138,Narsaq,GL,60.9167,-46.05,41.22,67,81,7.83,broken clouds
139,Te Anau,NZ,-45.4167,167.7167,70.32,49,5,0.78,clear sky
140,Hofn,IS,64.2539,-15.2082,32.45,76,100,7.56,overcast clouds
141,Rognedino,RU,53.8015,33.5576,22.1,79,90,8.66,overcast clouds
142,Walvis Bay,NA,-22.9575,14.5053,63.09,86,2,5.7,clear sky
143,Ucluelet,CA,48.9329,-125.5528,50.31,93,100,1.01,light rain
144,Timra,SE,62.487,17.3257,42.48,65,20,20.71,few clouds
145,Bambous Virieux,MU,-20.3428,57.7575,76.21,72,9,6.85,clear sky
146,Hasaki,JP,35.7333,140.8333,59.29,71,92,14.47,overcast clouds
147,Vaini,TO,-21.2,-175.2,80.4,65,46,8.66,scattered clouds
148,Butwal,NP,27.7006,83.4484,69.03,22,0,5.44,clear sky
149,Ilulissat,GL,69.2167,-51.1,20.48,64,59,9.51,broken clouds
150,Kaitangata,NZ,-46.2817,169.8464,65.46,63,4,4.68,clear sky
151,Tasiilaq,GL,65.6145,-37.6368,26.76,75,100,10.8,overcast clouds
152,Rawson,AR,-43.3002,-65.1023,66.7,26,0,8.66,clear sky
153,Pontian Kecil,MY,1.4801,103.3899,78.69,86,68,5.01,broken clouds
154,Gambela,ET,8.25,34.5833,80.35,36,10,3.65,clear sky
155,Unai,BR,-16.3575,-46.9061,76.75,60,40,2.91,scattered clouds
156,Vangaindrano,MG,-23.35,47.6,74.44,95,100,1.43,overcast clouds
157,Kekri,IN,25.9667,75.15,74.12,18,1,2.04,clear sky
158,Galt,US,38.2546,-121.3,69.01,60,99,11.41,overcast clouds
159,Deputatskiy,RU,69.3,139.9,1.11,77,40,2.01,scattered clouds
160,Ahipara,NZ,-35.1667,173.1667,70.79,56,0,5.97,clear sky
161,Stepnyak,KZ,52.8339,70.7803,15.66,98,97,5.79,overcast clouds
162,Mount Isa,AU,-20.7333,139.5,85.77,21,0,13.8,clear sky
163,Talnakh,RU,69.4865,88.3972,2.55,97,100,5.26,overcast clouds
164,Samarai,PG,-10.6167,150.6667,83.86,71,90,0.45,overcast clouds
165,Vilhena,BR,-12.7406,-60.1458,71.58,96,100,1.7,heavy intensity rain
166,Inhambane,MZ,-23.865,35.3833,73.76,87,4,7.49,clear sky
167,Northam,GB,51.0333,-4.2167,48.38,89,0,7.29,clear sky
168,Bethel,US,41.3712,-73.414,37.02,64,100,14.97,overcast clouds
169,Umm Kaddadah,SD,13.6017,26.6876,65.93,8,4,18.05,clear sky
170,Aykhal,RU,66.0,111.5,1.2,100,100,4.9,overcast clouds
171,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.74,90,0,10.58,clear sky
172,Kruisfontein,ZA,-34.0033,24.7314,62.89,76,69,5.32,broken clouds
173,Datong,CN,40.0936,113.2914,37.81,32,1,4.52,clear sky
174,Cairns,AU,-16.9167,145.7667,87.12,65,86,2.3,overcast clouds
175,Mackay,AU,-21.15,149.2,84.69,74,8,8.72,clear sky
176,Kavaratti,IN,10.5669,72.642,82.24,75,10,6.62,clear sky
177,Cherskiy,RU,68.75,161.3,5.47,88,99,8.3,overcast clouds
178,Nerchinsk,RU,51.9833,116.5833,25.75,53,38,15.68,scattered clouds
179,Severo-Kurilsk,RU,50.6789,156.125,33.26,90,81,26.19,light snow
180,Cayenne,GF,4.9333,-52.3333,81.09,1,75,8.05,broken clouds
181,Zlobin,HR,45.2924,14.6541,43.16,79,0,1.14,clear sky
182,Wattegama,LK,6.7989,81.4808,73.63,93,5,1.63,clear sky
183,Besancon,FR,47.2488,6.0182,52.14,80,0,2.55,clear sky
184,Toora-Khem,RU,52.4675,96.11,-2.07,99,98,1.77,overcast clouds
185,Pevek,RU,69.7008,170.3133,-9.11,93,42,7.43,scattered clouds
186,Yumen,CN,40.2833,97.2,41.45,30,89,12.53,overcast clouds
187,Nuuk,GL,64.1835,-51.7216,32.61,59,100,5.75,overcast clouds
188,Mount Gambier,AU,-37.8333,140.7667,67.42,58,31,6.29,scattered clouds
189,Geraldton,AU,-28.7667,114.6,75.61,78,100,5.75,overcast clouds
190,Yerbogachen,RU,61.2767,108.0108,13.41,96,100,7.31,overcast clouds
191,Rabo De Peixe,PT,37.8,-25.5833,58.51,88,40,11.5,scattered clouds
192,Nerchinskiy Zavod,RU,51.3088,119.61,24.28,53,23,5.35,few clouds
193,Agadez,NE,19.75,10.25,70.38,6,0,9.17,clear sky
194,Luz,BR,-19.8014,-45.6856,72.48,78,64,0.65,broken clouds
195,Ossora,RU,59.2353,163.0719,27.91,95,100,22.12,snow
196,Cape Town,ZA,-33.9258,18.4232,68.11,70,47,7.54,scattered clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,86.61,21,40,0.0,scattered clouds
198,Borba,BR,-4.3878,-59.5939,75.54,98,99,0.49,overcast clouds
199,Jumla,NP,29.2747,82.1838,45.05,54,3,4.14,clear sky
200,Kuala Terengganu,MY,5.3302,103.1408,78.98,84,2,1.86,clear sky
201,Burbank,US,34.1808,-118.309,73.26,60,0,13.8,clear sky
