City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Concarneau,0,FR,2022-03-27 03:26:24,73,47.875,-3.9225,49.82,11.34
378,Cayenne,75,GF,2022-03-27 03:26:25,1,4.9333,-52.3333,79.09,5.99
379,Freeport,40,US,2022-03-27 03:22:04,59,40.6576,-73.5832,46.58,18.41
380,Caohe,100,CN,2022-03-27 03:26:25,67,30.2297,115.4335,60.53,7.0
381,Mabaruma,100,GY,2022-03-27 03:26:26,97,8.2,-59.7833,71.69,2.71
382,Simbahan,100,PH,2022-03-27 03:26:26,75,6.3032,120.5836,82.51,17.72
383,Tymovskoye,100,RU,2022-03-27 03:26:27,77,50.8456,142.655,36.23,10.83
384,Lata,1,PT,2022-03-27 03:26:27,85,40.1629,-8.3327,51.08,5.06
385,Varkaus,11,FI,2022-03-27 03:26:27,75,62.3153,27.873,17.31,12.26
386,Mocuba,100,MZ,2022-03-27 03:26:28,95,-16.8392,36.9856,73.83,2.59
387,Turukhansk,100,RU,2022-03-27 03:26:28,91,65.8167,87.9833,10.4,10.31
388,Diffa,14,NE,2022-03-27 03:26:29,23,13.3154,12.6113,72.77,15.59
389,Porto Walter,100,BR,2022-03-27 03:26:29,98,-8.2686,-72.7439,72.93,1.66
390,Montlucon,4,FR,2022-03-27 03:25:23,78,46.3333,2.6,45.18,4.0
391,Samana,81,DO,2022-03-27 03:26:30,84,19.2056,-69.3369,72.64,5.03
392,San Joaquin,0,US,2022-03-27 03:26:30,54,37.9333,-121.3011,70.05,11.5
393,Osmena,100,PH,2022-03-27 03:26:31,70,10.5208,119.9258,84.18,11.88
394,Peterhead,32,GB,2022-03-27 03:26:31,86,57.5058,-1.7981,44.46,5.35
395,Schwerin,15,DE,2022-03-27 03:26:31,90,53.6294,11.4132,35.71,2.28
396,Ahipara,78,NZ,2022-03-27 03:23:09,65,-35.1667,173.1667,68.92,10.18
397,San Fernando,3,PH,2022-03-27 03:26:32,37,15.0286,120.6898,95.86,8.05
398,Kaeo,85,NZ,2022-03-27 03:26:33,73,-35.1,173.7833,67.51,3.24
399,Chokurdakh,100,RU,2022-03-27 03:26:33,91,70.6333,147.9167,2.39,10.31
400,Wufeng,100,CN,2022-03-27 03:26:33,79,27.45,104.8333,41.18,3.4
401,Ratekau,12,DE,2022-03-27 03:26:34,88,53.95,10.7333,38.12,3.15
402,Ust-Kuyga,98,RU,2022-03-27 03:26:34,92,70.0167,135.6,4.51,7.36
403,Barbosa Ferraz,30,BR,2022-03-27 03:26:35,88,-24.03,-52.0117,61.23,2.46
404,Lethem,95,GY,2022-03-27 03:26:35,74,3.3803,-59.7968,78.58,9.69
405,Sur,0,OM,2022-03-27 03:26:35,51,22.5667,59.5289,81.21,6.15
406,Eyl,22,SO,2022-03-27 03:26:36,70,7.9803,49.8164,71.96,8.79
407,Kendari,100,ID,2022-03-27 03:26:36,60,-3.945,122.4989,87.06,2.86
408,Goroka,100,PG,2022-03-27 03:26:37,76,-6.0834,145.3873,72.59,3.11
409,Foso,100,GH,2022-03-27 03:27:37,96,5.7012,-1.2866,74.8,3.11
410,Borovskoy,89,KZ,2022-03-27 03:27:38,98,53.8,64.15,1.89,4.09
411,Ilorin,40,NG,2022-03-27 03:23:58,78,8.5,4.55,78.51,5.14
412,Tazovskiy,91,RU,2022-03-27 03:27:38,97,67.4667,78.7,-0.67,10.87
413,Khandyga,70,RU,2022-03-27 03:27:38,83,62.6667,135.6,14.86,2.46
414,Kamsack,8,CA,2022-03-27 03:27:39,95,51.5667,-101.9009,-5.96,1.99
415,Haines Junction,100,CA,2022-03-27 03:27:39,55,60.7522,-137.5108,31.95,8.05
416,Araguaina,100,BR,2022-03-27 03:25:04,83,-7.1911,-48.2072,76.82,2.8
417,Bilibino,100,RU,2022-03-27 03:27:40,88,68.0546,166.4372,2.41,17.2
418,Bud,37,US,2022-03-27 03:27:40,70,39.447,-86.1758,30.9,11.52
419,Bandarbeyla,11,SO,2022-03-27 03:27:41,68,9.4942,50.8122,74.52,5.93
420,Kuusankoski,0,FI,2022-03-27 03:27:41,65,60.907,26.6244,21.72,13.8
421,Korem,31,ET,2022-03-27 03:27:41,81,12.5058,39.5228,50.52,2.21
422,Tanout,3,NE,2022-03-27 03:27:42,14,14.9709,8.8879,68.29,13.4
423,Ipixuna,100,BR,2022-03-27 03:27:42,98,-1.7625,-48.8043,74.1,3.47
424,Fare,4,PF,2022-03-27 03:27:43,72,-16.7,-151.0167,81.95,11.12
425,Eastlake,100,US,2022-03-27 03:26:08,82,41.6539,-81.4504,34.21,18.41
426,Mandurah,82,AU,2022-03-27 03:27:43,63,-32.55,115.7,73.9,21.47
427,Teya,100,RU,2022-03-27 03:27:44,86,60.3778,92.6267,14.54,11.03
428,Melville,40,US,2022-03-27 03:27:44,64,40.7934,-73.4151,46.17,10.36
429,Cartagena,40,CO,2022-03-27 03:27:45,83,10.3997,-75.5144,80.22,12.66
430,Taybad,0,IR,2022-03-27 03:27:45,46,34.74,60.7756,45.68,9.6
431,Wysokie Mazowieckie,12,PL,2022-03-27 03:27:45,65,52.9166,22.5171,30.51,14.9
432,Bereda,100,ES,2022-03-27 03:27:46,100,43.2686,-7.5406,46.58,1.25
433,Arlit,9,NE,2022-03-27 03:27:46,11,18.7369,7.3853,73.45,7.47
434,Verkhnyaya Inta,100,RU,2022-03-27 03:27:46,83,65.9811,60.3094,11.44,14.83
435,Maloy,100,NO,2022-03-27 03:27:47,88,61.9353,5.1136,43.74,21.59
436,Craig,100,US,2022-03-27 03:24:44,61,40.5153,-107.5464,47.82,0.0
437,Waipawa,97,NZ,2022-03-27 03:23:09,83,-41.4122,175.5153,56.28,12.33
438,Kununurra,71,AU,2022-03-27 03:27:48,49,-15.7667,128.7333,93.18,5.75
439,Coruripe,76,BR,2022-03-27 03:23:02,84,-10.1256,-36.1756,77.81,5.91
440,Pimenta Bueno,100,BR,2022-03-27 03:27:49,97,-11.6725,-61.1936,73.72,3.31
441,Kyra,26,RU,2022-03-27 03:27:49,43,49.5776,111.9753,28.13,4.07
442,Waddan,2,LY,2022-03-27 03:27:50,19,29.1614,16.139,56.16,11.63
443,Sayyan,1,YE,2022-03-27 03:27:50,32,15.1718,44.3244,54.07,5.55
444,Port-Cartier,94,CA,2022-03-27 03:27:50,98,50.0334,-66.8654,30.42,2.46
445,Diego De Almagro,0,CL,2022-03-27 03:27:51,34,-26.3667,-70.05,64.13,1.99
446,Goba,33,ET,2022-03-27 03:27:51,90,7.0167,39.9833,48.72,2.98
447,Lubao,3,PH,2022-03-27 03:27:52,46,14.9167,120.55,91.47,7.43
